sq_mt_built,n_rooms,n_bathrooms,n_floors,buy_price,is_renewal_needed,has_lift,is_exterior,has_parking,energy_certificate,house_type
129.0,3,2,1,297621,0,1,1,0,0,0
115.0,3,2,1,279778,0,1,1,0,0,0
110.0,2,2,1,135000,1,0,1,0,0,0
90.0,3,2,1,195000,0,1,1,0,0,0
60.0,2,1,1,126900,1,0,1,0,1,0
54.0,2,1,1,136400,0,0,1,0,3,0
80.0,3,1,1,145000,0,0,1,0,0,0
73.0,2,1,1,127500,0,1,1,0,1,0
122.0,3,2,1,179000,0,1,1,1,0,0
98.0,3,2,1,266122,0,1,1,1,0,0
97.0,3,2,1,261989,0,1,1,1,0,0
111.0,3,2,1,297621,0,1,1,1,0,4
99.0,3,2,1,251569,0,1,1,1,0,0
77.0,3,1,1,113500,1,0,1,0,0,0
85.0,3,1,1,138000,0,0,1,0,0,0
90.0,3,2,1,225000,0,1,1,1,0,0
133.0,2,1,1,264000,0,1,1,1,5,0
60.0,3,1,1,98260,0,0,1,0,2,0
133.0,3,3,1,275000,0,1,1,0,4,0
85.0,2,1,1,124000,0,0,1,0,2,0
59.0,2,2,1,164513,0,1,1,1,0,0
59.0,2,2,1,164416,0,1,1,1,0,0
58.0,2,2,1,165435,0,1,1,1,0,0
79.0,3,2,1,202629,0,1,1,1,0,0
60.0,2,2,1,164242,0,1,1,1,0,0
121.0,3,2,1,260000,0,1,1,1,0,0
126.0,3,2,1,294900,0,1,1,1,0,0
134.0,4,2,1,319900,0,1,1,1,0,0
111.0,3,2,1,259900,0,1,1,1,0,0
122.0,3,2,1,285900,0,1,1,1,0,0
125.0,3,2,1,289900,0,1,1,1,0,0
102.0,2,2,1,249900,0,1,1,1,0,0
104.0,3,2,1,273352,0,1,1,1,0,0
66.0,3,1,1,104900,0,1,1,0,0,0
95.0,2,1,1,155000,0,0,1,0,4,0
74.0,3,1,1,100000,0,0,1,0,3,0
97.0,2,1,1,210000,0,1,1,1,4,0
90.0,2,2,1,240000,0,1,1,1,0,4
130.0,4,2,1,257000,0,1,1,0,0,0
49.0,2,1,1,84000,0,1,1,0,3,0
151.0,3,2,1,314000,0,1,1,1,0,0
69.0,3,1,1,107000,0,0,1,0,0,0
170.0,3,2,1,325000,0,1,1,1,0,4
48.0,2,1,1,89000,0,0,1,0,3,0
98.0,3,2,1,284900,0,1,1,1,0,0
50.0,1,1,1,135000,0,1,1,1,0,0
136.0,3,2,1,230000,0,1,1,1,0,4
80.0,3,1,1,163000,0,1,1,0,0,0
95.0,3,1,1,185000,0,0,1,0,0,0
56.0,3,1,1,80000,1,0,1,0,0,0
43.0,1,1,1,84000,0,0,1,0,3,0
72.0,3,1,1,119900,1,1,1,0,0,0
100.0,4,2,1,154900,0,1,1,0,0,0
70.0,3,1,1,119900,1,1,1,0,0,0
60.0,2,1,1,79900,0,0,1,0,0,0
60.0,2,1,1,79900,0,0,1,0,0,0
91.0,3,2,1,129900,0,0,1,0,0,0
74.0,3,1,1,99900,1,0,1,0,0,0
110.0,3,2,1,275000,0,1,1,1,0,0
83.0,3,1,1,91500,0,0,1,0,0,0
25.0,0,1,1,129000,0,1,1,1,0,2
65.0,2,1,1,86860,1,0,1,0,0,0
58.0,3,1,1,105000,0,0,1,0,3,0
115.0,3,2,1,216000,0,1,1,1,0,0
82.0,3,1,1,120000,0,0,1,0,0,0
83.0,3,1,1,135000,0,1,1,0,0,0
90.0,2,1,1,212000,0,1,1,0,5,0
95.0,2,2,1,184000,0,1,1,0,0,0
89.0,3,1,1,160000,0,0,1,0,0,0
178.0,4,2,1,299990,0,1,1,1,0,0
59.0,2,1,1,117000,0,0,1,0,0,0
100.0,4,1,1,165000,0,1,1,0,0,0
68.0,3,1,1,95000,1,0,1,0,2,0
50.0,2,1,1,106000,0,0,1,0,0,0
114.0,4,2,1,229000,0,1,1,0,0,0
81.0,3,2,1,155000,0,1,1,1,0,0
91.0,2,2,1,228208,0,1,1,1,0,0
95.0,3,1,1,100000,1,0,1,0,0,0
80.0,3,1,1,140000,0,0,1,0,0,0
60.0,2,1,1,105000,0,0,1,0,0,0
80.0,3,1,1,165000,0,1,1,0,0,0
60.0,2,1,1,73000,0,1,1,0,0,0
50.0,1,1,1,159000,0,1,1,1,0,0
136.0,3,1,1,135990,0,0,1,0,0,0
96.0,2,2,1,210000,0,1,1,1,0,0
71.0,2,2,1,198000,0,1,1,0,0,0
74.0,2,1,1,139900,0,0,1,0,0,0
65.0,2,1,1,110000,0,0,1,0,3,0
93.0,3,1,1,160000,1,1,1,0,0,0
75.0,3,1,1,103000,0,0,1,0,0,0
63.0,3,1,1,100000,1,0,0,0,0,0
65.0,3,1,1,90000,0,0,1,0,0,0
115.0,3,1,2,154900,0,0,1,0,0,3
63.0,2,1,1,82260,0,1,1,0,0,0
72.0,3,1,1,139400,0,1,1,0,0,0
100.0,2,2,1,154900,0,1,1,1,0,0
90.0,3,2,1,155000,0,1,1,1,5,0
66.0,3,1,1,88000,0,0,1,0,0,0
102.0,3,2,1,225000,0,1,1,0,0,0
105.0,2,1,1,189000,0,1,1,1,0,0
95.0,4,1,1,138000,0,0,1,0,0,0
120.0,3,1,1,195000,0,1,1,0,0,0
90.0,3,2,1,222000,0,1,1,1,4,0
64.0,3,1,1,80500,1,0,1,0,0,0
80.0,3,1,1,182000,0,1,1,0,0,0
120.0,3,2,1,295000,0,0,1,1,0,0
82.0,2,2,1,270000,0,1,1,1,0,0
81.0,3,1,1,116100,0,0,1,0,1,0
103.0,3,2,1,250000,0,1,1,1,0,0
63.0,3,1,1,79900,0,0,1,0,0,0
70.0,3,1,1,99000,0,1,1,0,0,0
60.0,3,1,1,74550,1,0,1,0,0,0
45.0,2,1,1,105000,0,0,1,0,0,0
95.0,3,1,1,130000,0,0,1,0,0,0
70.0,3,1,1,120000,1,0,1,0,0,0
71.0,3,1,1,149000,0,1,1,0,3,0
70.0,3,1,1,135000,1,1,1,0,3,0
98.0,4,2,1,230000,0,1,1,0,0,0
55.0,3,1,1,91000,0,0,1,0,0,0
115.0,4,1,1,184900,0,0,1,0,0,0
78.0,3,1,1,127000,0,0,1,0,3,0
68.0,3,1,1,83900,0,0,1,0,0,0
120.0,3,1,1,180000,0,0,1,1,0,0
64.0,3,1,1,76000,1,0,1,0,0,0
92.0,4,1,1,163000,0,1,1,0,0,0
154.0,3,2,1,280000,0,1,1,1,0,0
105.0,3,2,1,180000,0,0,1,0,4,0
70.0,2,1,1,128000,0,0,1,0,0,0
93.0,3,1,1,166200,0,1,1,0,0,0
53.0,3,1,1,114300,0,0,1,0,1,0
86.0,3,1,1,129000,0,1,0,0,0,0
75.0,3,2,1,132000,0,0,1,0,0,0
85.0,3,1,1,135000,0,0,1,0,0,0
65.0,2,1,1,99000,0,0,1,0,0,0
53.0,3,1,1,114300,0,0,1,0,1,0
68.0,3,1,1,88000,0,0,1,0,0,0
75.0,3,1,1,110000,0,0,0,0,0,0
83.0,2,1,1,146000,0,1,1,0,0,0
95.0,3,1,1,112000,1,0,0,0,0,0
30.0,1,1,1,59000,0,0,1,0,3,0
53.0,1,1,1,146000,0,1,1,1,0,0
125.0,3,3,1,275000,0,1,1,0,0,4
153.0,4,2,1,178000,0,1,1,1,0,0
86.0,3,1,1,129000,0,1,0,0,0,0
66.0,2,1,1,96000,0,0,1,0,0,0
